method,run_count,cases_per_run,candidate_accuracy_mean,candidate_accuracy_std,avg_present_edge_precision_mean,avg_present_edge_precision_std,avg_present_edge_recall_mean,avg_present_edge_recall_std,avg_missing_edge_recall_mean,avg_missing_edge_recall_std,total_false_claims_mean,total_false_claims_std,stronger_candidate_accuracy_mean,stronger_candidate_accuracy_std,weak_candidate_rejection_accuracy_mean,weak_candidate_rejection_accuracy_std
LLM-only,3,14.000,0.976,0.041,0.988,0.021,0.706,0.025,0.905,0.041,0.333,0.577,0.905,0.041,1.000,0.000
Text-RAG,3,14.000,0.976,0.041,0.817,0.055,0.786,0.062,0.964,0.036,0.667,1.155,0.643,0.071,1.000,0.000
GraphRAG,3,14.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000
